127.0.0.1 - - [18/Nov/2019:09:23:30 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [18/Nov/2019:09:23:33 +0530] "GET /RestAPI/ HTTP/1.1" 200 323
127.0.0.1 - - [18/Nov/2019:09:24:39 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:24:39 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:24:39 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:24:44 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:24:44 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:24:44 +0530] "GET /scripts/jquery.js HTTP/1.1" 404 1095
127.0.0.1 - - [18/Nov/2019:09:24:44 +0530] "GET /scripts/bootstrap.min.js HTTP/1.1" 404 1102
127.0.0.1 - - [18/Nov/2019:09:24:44 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
127.0.0.1 - - [18/Nov/2019:09:25:18 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/supraja/1234 HTTP/1.1" 200 109
127.0.0.1 - - [18/Nov/2019:09:25:18 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/supraja/1234 HTTP/1.1" 200 109
127.0.0.1 - - [18/Nov/2019:09:25:18 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/supraja/1234 HTTP/1.1" 200 109
127.0.0.1 - - [18/Nov/2019:09:25:18 +0530] "GET /RestAPI/webapi/myresource/getEmpByUserPass/supraja/1234 HTTP/1.1" 200 109
127.0.0.1 - - [18/Nov/2019:09:25:41 +0530] "GET /RestAPI/webapi/myresource/getMsgs HTTP/1.1" 200 221
127.0.0.1 - - [18/Nov/2019:09:28:43 +0530] "GET /showgallery HTTP/1.1" 404 1085
127.0.0.1 - - [18/Nov/2019:09:28:50 +0530] "GET /jquery-3.4.1.min.js HTTP/1.1" 404 1093
